RelationshipType,StartNode.NodeID,EndNode.NodeID,RelationshipStatus,RelationshipPeriods.RelationshipPeriod.1.PeriodType,RelationshipPeriods.RelationshipPeriod.1.StartDate,RelationshipPeriods.RelationshipPeriod.1.EndDate,RelationshipQualifiers.AccountingStandard,Registration.RegistrationStatus
IS_ULTIMATELY_CONSOLIDATED_BY,ENATM9MCPRFC4CDUFTAW,R3C8J4JNUCYDX14NDNB1,ACTIVE,RELATIONSHIP_PERIOD,2023-11-11T00:00:00Z,2026-11-11T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,Z6MUZWIGV06G6JBY4CSK,QLFJERZFT207NQLDF1VT,ACTIVE,RELATIONSHIP_PERIOD,2024-12-12T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,3FFONJK677V2IVSX1CYP,MW0448K1WYA9MEJUUAJ3,ACTIVE,RELATIONSHIP_PERIOD,2021-01-13T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,EJ5GAJT9F5G3UKSKERXW,5UH0Q7A2I2GCNM08KYNW,ACTIVE,RELATIONSHIP_PERIOD,2022-02-14T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,EL3Q4Q2IH5CXSZ0I2X6U,MAXXBTT6H5300WW817VH,ACTIVE,RELATIONSHIP_PERIOD,2023-03-15T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,F062QCDP9AJGSYKZEOY3,31XL9K81YS1SGFGFB0G5,ACTIVE,RELATIONSHIP_PERIOD,2024-04-16T00:00:00Z,2027-04-16T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,W3383GFLGZ1MZVEUV5N4,26CS0NO39YHM4HW30ZAX,ACTIVE,RELATIONSHIP_PERIOD,2021-05-17T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,R3C8J4JNUCYDX14NDNB1,6SRQT0PA0CABJX7UVK1P,ACTIVE,RELATIONSHIP_PERIOD,2022-06-18T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,QLFJERZFT207NQLDF1VT,MZD1IYLZU7K1OGI6HZQ9,ACTIVE,RELATIONSHIP_PERIOD,2023-07-19T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,MW0448K1WYA9MEJUUAJ3,UNFFB1AJB8FYBI3WLPOT,ACTIVE,RELATIONSHIP_PERIOD,2024-08-20T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,5UH0Q7A2I2GCNM08KYNW,8PYQDRFJBGH3HGJSQLFE,ACTIVE,RELATIONSHIP_PERIOD,2021-09-21T00:00:00Z,2026-09-21T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,MAXXBTT6H5300WW817VH,XNZG5B0E5EN0YU2KLTAL,ACTIVE,RELATIONSHIP_PERIOD,2022-10-22T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,31XL9K81YS1SGFGFB0G5,HVW48AK7QHMB8B76JNXH,ACTIVE,RELATIONSHIP_PERIOD,2023-11-23T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,26CS0NO39YHM4HW30ZAX,BUIOFIRR4MFW9S3516ZM,ACTIVE,RELATIONSHIP_PERIOD,2024-12-24T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,6SRQT0PA0CABJX7UVK1P,LMRZGTKN5121RUGY1MWX,ACTIVE,RELATIONSHIP_PERIOD,2021-01-25T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,MZD1IYLZU7K1OGI6HZQ9,2KC6Q0S7WZBHLU1LWPEN,ACTIVE,RELATIONSHIP_PERIOD,2022-02-26T00:00:00Z,2027-02-26T00:00:00Z,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,UNFFB1AJB8FYBI3WLPOT,XJUHAUAVN3UO9EYSN7NG,ACTIVE,RELATIONSHIP_PERIOD,2023-03-27T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,8PYQDRFJBGH3HGJSQLFE,E01UUMMD55CR0HH2KUYP,ACTIVE,RELATIONSHIP_PERIOD,2024-04-01T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,XNZG5B0E5EN0YU2KLTAL,SBA3SIZC87CVBE4G0TRU,ACTIVE,RELATIONSHIP_PERIOD,2021-05-02T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,HVW48AK7QHMB8B76JNXH,ZF9U5DZT35HXGBODAIGU,ACTIVE,RELATIONSHIP_PERIOD,2022-06-03T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,BUIOFIRR4MFW9S3516ZM,OKFMX8ADQCHDTEQVYRKI,ACTIVE,RELATIONSHIP_PERIOD,2023-07-04T00:00:00Z,2026-07-04T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,LMRZGTKN5121RUGY1MWX,HIUJ02H77P45RU4OFQSF,ACTIVE,RELATIONSHIP_PERIOD,2024-08-05T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,2KC6Q0S7WZBHLU1LWPEN,9PNEE5DNAN3YM5GVN76U,ACTIVE,RELATIONSHIP_PERIOD,2021-09-06T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,XJUHAUAVN3UO9EYSN7NG,3J6GIOXY26MZMER1KTGJ,ACTIVE,RELATIONSHIP_PERIOD,2022-10-07T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,E01UUMMD55CR0HH2KUYP,GHPB3LRB472WQH9FW1NJ,ACTIVE,RELATIONSHIP_PERIOD,2023-11-08T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,SBA3SIZC87CVBE4G0TRU,616VD2RXGDY1MSMZLR75,ACTIVE,RELATIONSHIP_PERIOD,2024-12-09T00:00:00Z,2027-12-09T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,ZF9U5DZT35HXGBODAIGU,GDPHOHDCRPE8GROZZZGO,ACTIVE,RELATIONSHIP_PERIOD,2021-01-10T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,OKFMX8ADQCHDTEQVYRKI,5NKNWSSAGL64TPKUEKLV,ACTIVE,RELATIONSHIP_PERIOD,2022-02-11T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,HIUJ02H77P45RU4OFQSF,JA41VBLQEKAW4A5P4HCB,ACTIVE,RELATIONSHIP_PERIOD,2023-03-12T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,9PNEE5DNAN3YM5GVN76U,O76KJGGTV25W8Q5QX3AW,ACTIVE,RELATIONSHIP_PERIOD,2024-04-13T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,3J6GIOXY26MZMER1KTGJ,V74HR7BJ0OJW5BP1XNFM,ACTIVE,RELATIONSHIP_PERIOD,2021-05-14T00:00:00Z,2026-05-14T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,GHPB3LRB472WQH9FW1NJ,GR827LQWVZ0RTMC7VH13,ACTIVE,RELATIONSHIP_PERIOD,2022-06-15T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,616VD2RXGDY1MSMZLR75,SHA5J3J7S9KT5SESA3CN,ACTIVE,RELATIONSHIP_PERIOD,2023-07-16T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,GDPHOHDCRPE8GROZZZGO,HD5TA1WADQIWS69JFRJM,ACTIVE,RELATIONSHIP_PERIOD,2024-08-17T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,5NKNWSSAGL64TPKUEKLV,FSOC4WPY1ZGQTTL1UIMQ,ACTIVE,RELATIONSHIP_PERIOD,2021-09-18T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,JA41VBLQEKAW4A5P4HCB,09MTTFT38LY1GI72U6W3,ACTIVE,RELATIONSHIP_PERIOD,2022-10-19T00:00:00Z,2027-10-19T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,O76KJGGTV25W8Q5QX3AW,13003B9B0FITP6XI8SDZ,ACTIVE,RELATIONSHIP_PERIOD,2023-11-20T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,V74HR7BJ0OJW5BP1XNFM,ZA373DFDRGVGS4VDH6DN,ACTIVE,RELATIONSHIP_PERIOD,2024-12-21T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,GR827LQWVZ0RTMC7VH13,95IOJTTA5MHEAJH7GPNG,ACTIVE,RELATIONSHIP_PERIOD,2021-01-22T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,SHA5J3J7S9KT5SESA3CN,B62ZDHTZ4LP8Q2H1JBLJ,ACTIVE,RELATIONSHIP_PERIOD,2022-02-23T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,HD5TA1WADQIWS69JFRJM,K68M44SSG5XRZYG301JB,ACTIVE,RELATIONSHIP_PERIOD,2023-03-24T00:00:00Z,2026-03-24T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,FSOC4WPY1ZGQTTL1UIMQ,3HYATC2CWI33RAKW66NW,ACTIVE,RELATIONSHIP_PERIOD,2024-04-25T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,09MTTFT38LY1GI72U6W3,6ELJWV3IRTZE4Y4L67QI,ACTIVE,RELATIONSHIP_PERIOD,2021-05-26T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,13003B9B0FITP6XI8SDZ,WZECBKOGG54UOPGLY0ED,ACTIVE,RELATIONSHIP_PERIOD,2022-06-27T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,ZA373DFDRGVGS4VDH6DN,HCE2XBLUG2YI9MMQ52SO,ACTIVE,RELATIONSHIP_PERIOD,2023-07-01T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,95IOJTTA5MHEAJH7GPNG,K17MFBGNCIAX08EVL75M,ACTIVE,RELATIONSHIP_PERIOD,2024-08-02T00:00:00Z,2027-08-02T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,B62ZDHTZ4LP8Q2H1JBLJ,46WW9IE21YEFI7TGH5OD,ACTIVE,RELATIONSHIP_PERIOD,2021-09-03T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,K68M44SSG5XRZYG301JB,BOSQYWEKSE8P76TZD8H4,ACTIVE,RELATIONSHIP_PERIOD,2022-10-04T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,3HYATC2CWI33RAKW66NW,BCV0QMVDIN9VDP5ECWE0,ACTIVE,RELATIONSHIP_PERIOD,2023-11-05T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,6ELJWV3IRTZE4Y4L67QI,94IRCGC56OW14TOBDBM8,ACTIVE,RELATIONSHIP_PERIOD,2024-12-06T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,WZECBKOGG54UOPGLY0ED,B94DYYI119IH2HXWMV1D,ACTIVE,RELATIONSHIP_PERIOD,2021-01-07T00:00:00Z,2026-01-07T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,HCE2XBLUG2YI9MMQ52SO,OFAO08CAPDEDI2LSCUWP,ACTIVE,RELATIONSHIP_PERIOD,2022-02-08T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,K17MFBGNCIAX08EVL75M,IZ4HEEQ8N5WO2TX9SP7R,ACTIVE,RELATIONSHIP_PERIOD,2023-03-09T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,46WW9IE21YEFI7TGH5OD,86GDW05RFNI7OT9NHXJC,ACTIVE,RELATIONSHIP_PERIOD,2024-04-10T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,BOSQYWEKSE8P76TZD8H4,23HB5CRRYTFDRY5BYY2C,ACTIVE,RELATIONSHIP_PERIOD,2021-05-11T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,BCV0QMVDIN9VDP5ECWE0,NYL18DTC8WBVQNBV11DG,ACTIVE,RELATIONSHIP_PERIOD,2022-06-12T00:00:00Z,2027-06-12T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,94IRCGC56OW14TOBDBM8,S8317QKY3PIARRFP8SVZ,ACTIVE,RELATIONSHIP_PERIOD,2023-07-13T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,B94DYYI119IH2HXWMV1D,RXRQAHTUQL23B2A3CW49,ACTIVE,RELATIONSHIP_PERIOD,2024-08-14T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,OFAO08CAPDEDI2LSCUWP,0DFR9UE2LQRQ5IOLJDOH,ACTIVE,RELATIONSHIP_PERIOD,2021-09-15T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,IZ4HEEQ8N5WO2TX9SP7R,L62UC9ODQQBW8CPWGE62,ACTIVE,RELATIONSHIP_PERIOD,2022-10-16T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,86GDW05RFNI7OT9NHXJC,6EPNUX0E1SJBUXV0X4SB,ACTIVE,RELATIONSHIP_PERIOD,2023-11-17T00:00:00Z,2026-11-17T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,23HB5CRRYTFDRY5BYY2C,XCSJBGNU66WNYCJYFEO6,ACTIVE,RELATIONSHIP_PERIOD,2024-12-18T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,NYL18DTC8WBVQNBV11DG,8H7D4772URMSPVPXO3UH,ACTIVE,RELATIONSHIP_PERIOD,2021-01-19T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,S8317QKY3PIARRFP8SVZ,20XFW96EX4O20OI8P0IQ,ACTIVE,RELATIONSHIP_PERIOD,2022-02-20T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,RXRQAHTUQL23B2A3CW49,VUHF006J5ML3AKH0Q94G,ACTIVE,RELATIONSHIP_PERIOD,2023-03-21T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,0DFR9UE2LQRQ5IOLJDOH,C1BKEI67Y1WIZ9PSHVVG,ACTIVE,RELATIONSHIP_PERIOD,2024-04-22T00:00:00Z,2027-04-22T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,L62UC9ODQQBW8CPWGE62,EW2021S4IL6FJAX3YU2L,ACTIVE,RELATIONSHIP_PERIOD,2021-05-23T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,6EPNUX0E1SJBUXV0X4SB,GOT5VD7761SUYULJCN17,ACTIVE,RELATIONSHIP_PERIOD,2022-06-24T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,XCSJBGNU66WNYCJYFEO6,UGWSKHSR52OKSQGORJGN,ACTIVE,RELATIONSHIP_PERIOD,2023-07-25T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,8H7D4772URMSPVPXO3UH,BC88MA5BXNS127I3SHH2,ACTIVE,RELATIONSHIP_PERIOD,2024-08-26T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,20XFW96EX4O20OI8P0IQ,5QFIRHWFOEUK6VR36EUC,ACTIVE,RELATIONSHIP_PERIOD,2021-09-27T00:00:00Z,2026-09-27T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,VUHF006J5ML3AKH0Q94G,G7UM9CAPIYOMQ4J5L5SI,ACTIVE,RELATIONSHIP_PERIOD,2022-10-01T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,C1BKEI67Y1WIZ9PSHVVG,F7NA1E59NLC0QYPW47LT,ACTIVE,RELATIONSHIP_PERIOD,2023-11-02T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,EW2021S4IL6FJAX3YU2L,S55ZW84SGOHS02UP1HL3,ACTIVE,RELATIONSHIP_PERIOD,2024-12-03T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,GOT5VD7761SUYULJCN17,HWZI450PBSR6N0D9UQU0,ACTIVE,RELATIONSHIP_PERIOD,2021-01-04T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,UGWSKHSR52OKSQGORJGN,21ZQDR5OVCT20OK8NHVI,ACTIVE,RELATIONSHIP_PERIOD,2022-02-05T00:00:00Z,2027-02-05T00:00:00Z,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,BC88MA5BXNS127I3SHH2,BYFVW9ED7NX8MK8ZOSKX,ACTIVE,RELATIONSHIP_PERIOD,2023-03-06T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,5QFIRHWFOEUK6VR36EUC,0N9PACB7G6Z5CKSTBOPC,ACTIVE,RELATIONSHIP_PERIOD,2024-04-07T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,G7UM9CAPIYOMQ4J5L5SI,HYZIRFEE60BA8JGZMTU1,ACTIVE,RELATIONSHIP_PERIOD,2021-05-08T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,F7NA1E59NLC0QYPW47LT,TR3MGQ4YS1FO09R4S86P,ACTIVE,RELATIONSHIP_PERIOD,2022-06-09T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,S55ZW84SGOHS02UP1HL3,B5ZX8G2OBZO2X4GTVJFG,ACTIVE,RELATIONSHIP_PERIOD,2023-07-10T00:00:00Z,2026-07-10T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,HWZI450PBSR6N0D9UQU0,N5PFJZ47OD5Q0TVJCU0A,ACTIVE,RELATIONSHIP_PERIOD,2024-08-11T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,21ZQDR5OVCT20OK8NHVI,N9585UPU3469FG1EYIAK,ACTIVE,RELATIONSHIP_PERIOD,2021-09-12T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,BYFVW9ED7NX8MK8ZOSKX,KM2HC15K75I90ZASH1SR,ACTIVE,RELATIONSHIP_PERIOD,2022-10-13T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,0N9PACB7G6Z5CKSTBOPC,XKJS7NX7Q43NVIK74AU0,ACTIVE,RELATIONSHIP_PERIOD,2023-11-14T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,HYZIRFEE60BA8JGZMTU1,J4EATMMG83VGD3KEW9OW,ACTIVE,RELATIONSHIP_PERIOD,2024-12-15T00:00:00Z,2027-12-15T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,TR3MGQ4YS1FO09R4S86P,MRS1TXZQ98MEJGNRLQGI,ACTIVE,RELATIONSHIP_PERIOD,2021-01-16T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,B5ZX8G2OBZO2X4GTVJFG,VR4NKAONFJJK4AUEDI62,ACTIVE,RELATIONSHIP_PERIOD,2022-02-17T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,N5PFJZ47OD5Q0TVJCU0A,4UT6HP9ZYY4WT7U7FNKR,ACTIVE,RELATIONSHIP_PERIOD,2023-03-18T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,N9585UPU3469FG1EYIAK,1925QH91WLBX3W1N9MYX,ACTIVE,RELATIONSHIP_PERIOD,2024-04-19T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,KM2HC15K75I90ZASH1SR,AM2X7MATVGXQ6ARCR4ZC,ACTIVE,RELATIONSHIP_PERIOD,2021-05-20T00:00:00Z,2026-05-20T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,XKJS7NX7Q43NVIK74AU0,RDB435L48GCXBJLIF0HD,ACTIVE,RELATIONSHIP_PERIOD,2022-06-21T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,J4EATMMG83VGD3KEW9OW,DUG8RMBVUKX7AZ0DEM6J,ACTIVE,RELATIONSHIP_PERIOD,2023-07-22T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,MRS1TXZQ98MEJGNRLQGI,FL2CRM60LATR9WHV3F3F,ACTIVE,RELATIONSHIP_PERIOD,2024-08-23T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,VR4NKAONFJJK4AUEDI62,FLFLUBKANX3FPTMITDYS,ACTIVE,RELATIONSHIP_PERIOD,2021-09-24T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,4UT6HP9ZYY4WT7U7FNKR,RIU0OMRMLSQ2QF5WXW72,ACTIVE,RELATIONSHIP_PERIOD,2022-10-25T00:00:00Z,2027-10-25T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,1925QH91WLBX3W1N9MYX,CYJ8N1WSNV69RF6NQN3Q,ACTIVE,RELATIONSHIP_PERIOD,2023-11-26T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,AM2X7MATVGXQ6ARCR4ZC,H7L4I3UXYCUGWAK04VVG,ACTIVE,RELATIONSHIP_PERIOD,2024-12-27T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,RDB435L48GCXBJLIF0HD,WTK38LB231Z4PQXV4ZTC,ACTIVE,RELATIONSHIP_PERIOD,2021-01-01T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,DUG8RMBVUKX7AZ0DEM6J,6G01RZBK6KT7MIIVDFTJ,ACTIVE,RELATIONSHIP_PERIOD,2022-02-02T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,FL2CRM60LATR9WHV3F3F,3ZK3AJMLTTFLPN1FPJ9X,ACTIVE,RELATIONSHIP_PERIOD,2023-03-03T00:00:00Z,2026-03-03T00:00:00Z,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,FLFLUBKANX3FPTMITDYS,4KWG49ZN4Y3PGYIUIZUS,ACTIVE,RELATIONSHIP_PERIOD,2024-04-04T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,RIU0OMRMLSQ2QF5WXW72,Z8EW5BOLPXXV6AZEOI5M,ACTIVE,RELATIONSHIP_PERIOD,2021-05-05T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,CYJ8N1WSNV69RF6NQN3Q,NT1FVYL1JSTY4CQ0LKZ7,ACTIVE,RELATIONSHIP_PERIOD,2022-06-06T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,H7L4I3UXYCUGWAK04VVG,3FWGZAKUI6Y3A5Z1DT1Q,ACTIVE,RELATIONSHIP_PERIOD,2023-07-07T00:00:00Z,,PAS,PUBLISHED
